PRES,BU,PLOT,MONDATE,SPCODE,IND,COVER,LAST BURN,MON_YEAR,BURN_YEAR
ABRP,21,3,8/25/1998,QL,5,7.6,5/27/1997,1996,1996
ABRP,21,3,8/25/1998,QE,5,8.05,5/27/1997,1996,1996
ABRP,21,3,8/25/1998,QU,3,2.05,5/27/1997,1996,1996
ABRP,21,3,8/25/1998,HW,3,13.55,5/27/1997,1996,1996
ABRP,21,3,8/25/1998,PE,0,0,5/27/1997,1996,1996
ABRP,21,3,8/25/1998,PP,0,0,5/27/1997,1996,1996
ABRP,40,1,7/15/1998,QL,2,3.35,3/27/1992,1996,1996
ABRP,40,1,7/15/1998,QE,13,9.5,3/27/1992,1996,1996
ABRP,40,1,7/15/1998,QU,0,0,3/27/1992,1996,1996
ABRP,40,1,7/15/1998,HW,9,4.6,3/27/1992,1996,1996
ABRP,40,1,7/15/1998,PE,1,0.2,3/27/1992,1996,1996
ABRP,40,1,7/15/1998,PP,0,0,3/27/1992,1996,1996
ABRP,40,2,7/15/1998,QL,0,0,3/27/1992,1996,1996
ABRP,40,2,7/15/1998,QE,2,2.2,3/27/1992,1996,1996
ABRP,40,2,7/15/1998,QU,0,0,3/27/1992,1996,1996
ABRP,40,2,7/15/1998,HW,4,11.8,3/27/1992,1996,1996
ABRP,40,2,7/15/1998,PE,0,0,3/27/1992,1996,1996
ABRP,40,2,7/15/1998,PP,2,0.75,3/27/1992,1996,1996
ABRP,40,3,7/16/1998,QL,0,0,3/27/1992,1996,1996
ABRP,40,3,7/16/1998,QE,7,6.9,3/27/1992,1996,1996
ABRP,40,3,7/16/1998,QU,0,0,3/27/1992,1996,1996
ABRP,40,3,7/16/1998,HW,9,5.6,3/27/1992,1996,1996
ABRP,40,3,7/16/1998,PE,0,0,3/27/1992,1996,1996
ABRP,40,3,7/16/1998,PP,1,0.4,3/27/1992,1996,1996
ABRP,40,4,8/5/1998,QL,1,1.3,3/27/1992,1998,1996
ABRP,40,4,8/5/1998,QE,6,2.7,3/27/1992,1998,1996
ABRP,40,4,8/5/1998,QU,0,0,3/27/1992,1998,1996
ABRP,40,4,8/5/1998,HW,4,2.8,3/27/1992,1998,1996
ABRP,40,4,8/5/1998,PE,1,2.3,3/27/1992,1998,1996
ABRP,40,4,8/5/1998,PP,1,2.8,3/27/1992,1998,1996
ABRP,40,5,8/6/1998,QL,0,0,3/27/1992,1998,1996
ABRP,40,5,8/6/1998,QE,14,10.6,3/27/1992,1998,1996
ABRP,40,5,8/6/1998,QU,0,0,3/27/1992,1998,1996
ABRP,40,5,8/6/1998,HW,6,6.95,3/27/1992,1998,1996
ABRP,40,5,8/6/1998,PE,2,4.1,3/27/1992,1998,1996
ABRP,40,5,8/6/1998,PP,0,0,3/27/1992,1998,1996
ABRP,40,6,8/26/1998,QL,0,0,3/27/1992,1998,1996
ABRP,40,6,8/26/1998,QE,24,23.3,3/27/1992,1998,1996
ABRP,40,6,8/26/1998,QU,0,0,3/27/1992,1998,1996
ABRP,40,6,8/26/1998,HW,7,2.95,3/27/1992,1998,1996
ABRP,40,6,8/26/1998,PE,2,2.8,3/27/1992,1998,1996
ABRP,40,6,8/26/1998,PP,0,0,3/27/1992,1998,1996
ABRP,40,7,8/27/1998,QL,6,9.4,3/27/1992,1998,1996
ABRP,40,7,8/27/1998,QE,1,1.1,3/27/1992,1998,1996
ABRP,40,7,8/27/1998,QU,2,4.1,3/27/1992,1998,1996
ABRP,40,7,8/27/1998,HW,3,1.8,3/27/1992,1998,1996
ABRP,40,7,8/27/1998,PE,0,0,3/27/1992,1998,1996
ABRP,40,7,8/27/1998,PP,0,0,3/27/1992,1998,1996
ABRP,40,8,8/27/1998,QL,1,2.4,3/27/1992,1998,1996
ABRP,40,8,8/27/1998,QE,7,2.75,3/27/1992,1998,1996
